decayed,image,names,name,norad_cat_id,status,telemetries
null,https://db-satnogs.freetls.fastly.net/media/satellites/transit-o__1.jpg,OPS 6582,TRANSIT 5B-5,965,alive,[]
null,null,,ERS 20 (OV5-3),2768,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/AO-7-Model-300x180.gif,AO-7 - AO-07,OSCAR 7,7530,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/UoSat-2.jpg,UO-11 - OSCAR-11,UOSAT 2,14781,alive,[]
null,null,,NOAA 9,15427,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/LUSAT-1.gif,LO-19,LUSAT,20442,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/AO-27-PreFlight.jpg,AO-27,EYESAT-1,22825,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/itamsat_1.jpg,IO-26,ITAMSAT,22826,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/radio-rosto__1.jpg,RS-15,RADIO ROSTO,23439,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/fo29.gif,FO-29,JAS-2,24278,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/satellite_NOAA-15.jpg,,NOAA 15,25338,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/gurwinIIb.gif,GO-32 - TechSat/Gurwin-II,TECHSAT 1B,25397,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/ISS.jpg,ZARYA,ISS,25544,alive,[{"decoder":"ax25monitor"}]
null,https://db-satnogs.freetls.fastly.net/media/satellites/4355e5156bc2ef829b9c7e128608e6ddce046507.jpg,Ørsted,ORSTED,25635,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/opal__1.jpg,OO-38,OPAL,26063,alive,[]
null,null,,PHASE 3D (AO-40),26609,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/no44.gif,NO-44,PCSAT,26931,alive,[{"decoder":"ax25monitor"}]
null,https://db-satnogs.freetls.fastly.net/media/satellites/saudisat-so-50.jpg,SO-50,SAUDISAT 1C,27607,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/cute-1__1.jpg,CO-55,CUTE-1,27844,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/xi-4__1.jpg,CO-57,CUBESAT XI-IV,27848,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/zeya__1.jpg,RS-22,MOZHAYETS 4,27939,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/inmarsat-4__1.jpg,Alphasat1,INMARSAT 4-F1,28628,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/hamsat.jpg,VO-52,HAMSAT,28650,dead,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/NOAA-18_or_19_rendering.jpg,,NOAA 18,28654,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/XI-V-Sai-Five-300x225.jpg,CO-58- OSCAR 58,CUBESAT XI 5,28895,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/metopa.jpg,,METOP-A,29499,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/CartoSat2_AutoB.jpeg,IRS-P7,CARTOSAT-2,29710,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/FALCONSAT-3.jpg,,FALCONSAT 3,30776,alive,[{"decoder":"ax25monitor"}]
null,https://db-satnogs.freetls.fastly.net/media/satellites/CAPE1.jpg,,CAPE1,31130,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/image_gallery.jpg,,CARTOSAT-2A,32783,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/CO-65-300x197.jpg,CO-65,CUTE-1.7+APD II,32785,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/COMPASS-1.jpg,,COMPASS-1,32787,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/AAUSAT-2.jpg,CUBESAT-2 - AAUSAT-2,AAUSAT-II,32788,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/DelfiC3_AutoE.jpeg,DO-64,DELFI-C3,32789,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/SEEDS.gif,CO-66,SEEDS II,32791,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/rs30_1.jpg,RS-30,YUBILEINY,32953,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/FENGYUN-3A_AVnpzkb.jpg,Feng-Yun-3A- FY3A,FENGYUN 3A,32958,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/PRISM_AutoF.jpg,HITOMI,PRISM,33493,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/STARS-1.2.jpg,KUKAI-GENNAI mother and daughter,STARS,33498,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/KKS-FM-4-2.JPG,KISEKI,KKS-1,33499,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/NOAA-19_5rtz25e.jpg,,NOAA 19,33591,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/swisscube.jpeg,,SWISSCUBE,35932,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/BEESAT.JPG,,BEESAT,35933,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/itupsat1b.jpg,,ITUPSAT 1,35935,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/HO-68-Preassembly.jpg,HO-68 - XW-1 - HOPE-1,XIWANG-1,36122,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/cartosat-2b.jpg,,CARTOSAT-2B,36795,alive,[]
