baud,downlink_drift,alive,uplink_drift,invert,citation,description,type,norad_cat_id,uuid,mode,mode_id,service,downlink_high,uplink_high,downlink_low,updated,uplink_low,uplink_mode,status
1200.0,null,true,null,true,CITATION NEEDED - https://xkcd.com/285/,Mode V/V APRS AFSK,Transceiver,26931,2dCbF2jmsxFpHw8ApevTMd,AFSK,49,Unknown,null,null,145825000,2019-04-18T05:39:53.343316Z,145825000,AFSK,active
1200.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U TLM,Transmitter,27844,fpLBtCB3kRcf5uFWvSonsC,AFSK,49,Unknown,null,null,437470000,2019-04-18T05:39:53.343316Z,null,null,active
0.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U TLM,Transmitter,27844,ufVXbFsznnzKWsXqyf8gwE,CW,6,Unknown,null,null,436837500,2019-04-18T05:39:53.343316Z,null,null,active
0.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U CW Beacon,Transmitter,27848,gmmMUrZydhneJJZRJAYoG7,CW,6,Unknown,null,null,436847500,2019-04-18T05:39:53.343316Z,null,null,active
0.0,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,Indian Beacon,Transmitter,28650,iQTQN82FXUCVSFmkYfohh5,CW,6,Unknown,null,null,145936000,2019-04-18T05:39:53.343316Z,null,null,inactive
0.0,null,false,null,true,CITATION NEEDED - https://xkcd.com/285/,Indian U/V Lin,Transponder,28650,9F84Wpixu87uciHwKzx8tU,FMN,7,Unknown,145930000,435280000,145870000,2019-04-18T05:39:53.343316Z,435220000,FMN,inactive
0.0,null,false,null,true,CITATION NEEDED - https://xkcd.com/285/,Dutch U/V Lin,Transponder,28650,Ja4nCimS64XJQaTCuaJRZh,FMN,7,Unknown,145925000,435275000,145875000,2019-04-18T05:39:53.343316Z,435225000,FMN,inactive
0.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U CW BEACON,Transmitter,28895,ShK6dsshtuNqssrY4xP7LA,CW,6,Unknown,null,null,437463100,2019-04-18T05:39:53.343316Z,null,null,active
1200.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U TLM,Transmitter,28895,BykbvfhDt8p3ieh8Nr8SYm,AFSK,49,Unknown,null,null,437345000,2019-04-18T05:39:53.343316Z,null,null,active
19.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U TLM 1,Transmitter,32785,w3YLCLgdTqDpqhZ24uaJzM,CW,6,Unknown,null,null,437275000,2019-04-18T05:39:53.343316Z,null,null,active
1200.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U TLM 2,Transmitter,32785,ie2oBdY3zydrkWxEHvXtL7,AFSK,49,Unknown,null,null,437475000,2019-04-18T05:39:53.343316Z,null,null,active
1200.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U TLM,Transmitter,32791,WzUhZvVherckTDUttWu3dW,AFSK,49,Unknown,null,null,437485000,2019-04-18T05:39:53.343316Z,null,null,active
0.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U Digi,Transmitter,32791,83vZm8YxPFoXjEzH9yhy4V,FMN,7,Unknown,null,null,437485000,2019-04-18T05:39:53.343316Z,null,null,active
2500.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Telemetry Beacon 1 Beacon,Transmitter,32953,h7S7VNjodegJM2AYahtvAN,FMN,7,Unknown,null,null,435215000,2019-04-18T05:39:53.343316Z,null,null,active
2500.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Telemetry Beacon 2 Beacon,Transmitter,32953,gFtFgRMUqbmLbR94Jjb2KK,FMN,7,Unknown,null,null,435315000,2019-04-18T05:39:53.343316Z,null,null,active
20.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U CW,Transmitter,33493,rmv9kRFrXDtQ8H7wucWwbm,CW,6,Unknown,null,null,437250000,2019-04-18T05:39:53.343316Z,null,null,active
1200.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,Mode U MSG,Transmitter,33499,ZkQJidFbx97FBARSxybeyh,AFSK,49,Unknown,null,null,437445000,2019-04-18T05:39:53.343316Z,null,null,active
4800.0,null,false,null,false,CITATION NEEDED - https://xkcd.com/285/,TLM (broken),Transmitter,35933,ZwdQUwqRbFETGnLAxoH9JF,GMSK,63,Unknown,null,null,435950000,2019-04-18T05:39:53.343316Z,null,null,inactive
19200.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,GFSK Telemetry,Transmitter,35935,r6mypHqFn5e2M2gadzsPx3,GFSK,75,Unknown,null,null,437325000,2019-04-18T05:39:53.343316Z,null,null,active
15.0,null,true,null,false,CITATION NEEDED - https://xkcd.com/285/,CW Beacon,Transmitter,36122,T7QXLn5PryWVdjqDUfGa55,CW,6,Unknown,null,null,435791000,2019-04-18T05:39:53.343316Z,null,null,active
